film,rating,url
Soumrak templářů,40,https://kultura.zpravy.idnes.cz/soumrak-templaru-recenze-0yi-/filmvideo.aspx?c=A171208_102257_filmvideo_ts
Přání k mání,40,https://kultura.zpravy.idnes.cz/prani-k-mani-recenze-vit-karas-dk0-/filmvideo.aspx?c=A171206_124928_filmvideo_ts
Můj život Cuketky,75,https://kultura.zpravy.idnes.cz/muj-zivot-cuketky-recenze-claude-barras-f0t-/filmvideo.aspx?c=A171204_095314_filmvideo_ts
Paddington 2,75,https://kultura.zpravy.idnes.cz/recenze-paddington-2-hugh-grant-dz8-/filmvideo.aspx?c=A171130_367570_filmvideo_spm
Kvarteto,45,https://kultura.zpravy.idnes.cz/miroslav-krobot-kvarteto-0ys-/filmvideo.aspx?c=A171129_367346_filmvideo_spm
7 životů,55,https://kultura.zpravy.idnes.cz/7-zivotu-recenze-02i-/filmvideo.aspx?c=A171127_172716_filmvideo_ts
Táta je doma 2,40,https://kultura.zpravy.idnes.cz/recenze-tata-doma-2-mel-gibson-di7-/filmvideo.aspx?c=A171123_366012_filmvideo_spm
Rock’n Roll,60,https://kultura.zpravy.idnes.cz/recenze-film-rock-n-roll-0wf-/filmvideo.aspx?c=A171121_365529_filmvideo_spm
Sbohem děcáku,60,https://kultura.zpravy.idnes.cz/sbohem-decaku-recenze-0t4-/filmvideo.aspx?c=A171120_365284_filmvideo_spm
Listopad,30,https://kultura.zpravy.idnes.cz/recenze-listopad-lustig-0w9-/filmvideo.aspx?c=A171118_085438_filmvideo_spm
Liga spravedlnosti,55,https://kultura.zpravy.idnes.cz/liga-spravedlnosti-recenze-df4-/filmvideo.aspx?c=A171116_132112_filmvideo_ts
Zahradnictví: Nápadník,50,https://kultura.zpravy.idnes.cz/zahradnictvi-napadnik-hrebejk-recenze-dhp-/filmvideo.aspx?c=A171116_120201_filmvideo_ts
Dokud nás svatba nerozdělí,60,https://kultura.zpravy.idnes.cz/dokud-nas-svatba-nerozdeli-recenze-dtt-/filmvideo.aspx?c=A171115_142802_filmvideo_ts
Až po uši,60,https://kultura.zpravy.idnes.cz/az-po-usi-recenze-0en-/filmvideo.aspx?c=A171114_130332_filmvideo_ts
"Já, Kajínek",60,https://kultura.zpravy.idnes.cz/ja-kajinek-recenze-dokument-prima-dl1-/filmvideo.aspx?c=A171110_132810_filmvideo_ts
Suburbicon: Temné předměstí,50,https://kultura.zpravy.idnes.cz/suburbicon-temne-predmesti-recenze-d6w-/filmvideo.aspx?c=A171109_150421_filmvideo_ts
Vražda v Orient expresu,50,https://kultura.zpravy.idnes.cz/vrazda-v-orient-expresu-kenneth-branagh-f0r-/filmvideo.aspx?c=A171107_101804_filmvideo_ts
Milda,60,https://kultura.zpravy.idnes.cz/milda-recenze-006-/filmvideo.aspx?c=A171106_092349_filmvideo_ts
Rodiče napořád,65,https://kultura.zpravy.idnes.cz/rodice-naporad-recenze-0b5-/filmvideo.aspx?c=A171102_153600_filmvideo_ts
Milada,50,https://kultura.zpravy.idnes.cz/milada-recenze-0p3-/filmvideo.aspx?c=A171102_092035_filmvideo_ts
Lajka,60,https://kultura.zpravy.idnes.cz/lajka-animovany-muzikal-recenze-aurel-klimt-fmd-/filmvideo.aspx?c=A171101_110613_filmvideo_ts
Zabití posvátného jelena,55,https://kultura.zpravy.idnes.cz/zabiti-posvatneho-jelena-recenze-dqm-/filmvideo.aspx?c=A171030_104602_filmvideo_ts
Bo Hai,70,https://kultura.zpravy.idnes.cz/bo-hai-recenze-duzan-duong-09q-/filmvideo.aspx?c=A171027_110222_filmvideo_ts
Earth: Den na zázračné planetě,75,https://kultura.zpravy.idnes.cz/earth-den-na-zazracne-planete-recenze-dwf-/filmvideo.aspx?c=A171025_115619_filmvideo_ts
Thor: Ragnarok,60,https://kultura.zpravy.idnes.cz/thor-ragnarok-recenze-0ur-/filmvideo.aspx?c=A171025_094026_filmvideo_ts
Mečiar,50,https://kultura.zpravy.idnes.cz/meciar-recenze-0pt-/filmvideo.aspx?c=A171023_094457_filmvideo_ts
Čára,65,https://kultura.zpravy.idnes.cz/cara-recenze-bebjak-0a6-/filmvideo.aspx?c=A171020_135154_filmvideo_ts
Dáma a Král,65,https://kultura.zpravy.idnes.cz/dama-a-kral-recenze-0n4-/filmvideo.aspx?c=A171020_093509_filmvideo_ts
Bajkeři,35,https://kultura.zpravy.idnes.cz/bajkeri-recenze-0i4-/filmvideo.aspx?c=A171018_094539_filmvideo_ts
Camino na kolečkách,55,https://kultura.zpravy.idnes.cz/camino-na-koleckach-recenze-dd9-/filmvideo.aspx?c=A171016_095056_filmvideo_ts
Sněhulák,50,https://kultura.zpravy.idnes.cz/snehulak-recenze-0e1-/filmvideo.aspx?c=A171013_091846_filmvideo_ts
8 hlav šílenství,40,https://kultura.zpravy.idnes.cz/8-hlav-silenstvi-recenze-0wv-/filmvideo.aspx?c=A171011_103136_filmvideo_ts
Čtverec,70,https://kultura.zpravy.idnes.cz/ctverec-recenze-0jd-/filmvideo.aspx?c=A171010_082237_filmvideo_ts
Jmenuji se Hladový Bizon,55,https://kultura.zpravy.idnes.cz/jmenuji-se-hladovy-bizon-recenze-d4j-/filmvideo.aspx?c=A171006_150144_filmvideo_ts
Polda II,60,https://kultura.zpravy.idnes.cz/polda-ii-recenze-matasek-fuit-djm-/filmvideo.aspx?c=A171006_140128_filmvideo_ts
Blade Runner 2049,60,https://kultura.zpravy.idnes.cz/blade-runner-2049-recenze-0v0-/filmvideo.aspx?c=A171005_091024_filmvideo_ts
Chlapi nepláčou,70,https://kultura.zpravy.idnes.cz/chlapi-neplacou-recenze-0st-/filmvideo.aspx?c=A171003_090655_filmvideo_ts
Máma z basy,50,https://kultura.zpravy.idnes.cz/recenze-mama-z-basy-0ar-/filmvideo.aspx?c=A171001_152434_filmvideo_spm
Zahradnictví: Dezertér,50,https://kultura.zpravy.idnes.cz/recenze-dezerter-zahradnictvi-dzn-/filmvideo.aspx?c=A170928_154041_filmvideo_spm
Wind River,75,https://kultura.zpravy.idnes.cz/wind-river-recenze-0nh-/filmvideo.aspx?c=A170925_124953_filmvideo_ts
LEGO® Ninjago® film,30,https://kultura.zpravy.idnes.cz/recenze-ninjago-lego-0lx-/filmvideo.aspx?c=A170921_163907_filmvideo_spm
Kingsman: Zlatý kruh,65,https://kultura.zpravy.idnes.cz/recenze-kingsman-zlaty-kruh-d14-/filmvideo.aspx?c=A170920_175201_filmvideo_spm
Sama,75,https://kultura.zpravy.idnes.cz/sama-luba-skorepova-recenze-dpa-/filmvideo.aspx?c=A170920_102117_filmvideo_ts
O těle a duši,80,https://kultura.zpravy.idnes.cz/o-tele-a-dusi-recenze-0lv-/filmvideo.aspx?c=A170919_121701_filmvideo_ts
Nerodič,60,https://kultura.zpravy.idnes.cz/nerodic-recenze-0iw-/filmvideo.aspx?c=A170918_115527_filmvideo_ts
Dobrý časy,60,https://kultura.zpravy.idnes.cz/robert-pattinson-dobry-casy-d1w-/filmvideo.aspx?c=A170914_174742_filmvideo_spm
Víno nás spojuje,50,https://kultura.zpravy.idnes.cz/vino-nas-spojuje-film-recenze-d2n-/filmvideo.aspx?c=A170915_111049_filmvideo_vha
